Code,Longitude,Latitude
K9H,44.31751002,-78.32230697
K9J,44.29242509,-78.33129582
K9K,44.28674786,-78.36469447
K9L,44.3301395,-78.30066891
K9V,44.3578334,-78.74089361
L0A,44.11283542,-78.51007209
L0B,44.08431275,-78.80043979
L0C,44.18025033,-79.09980833
L0E,44.28305877,-79.30908062
L0G,44.0494453,-79.62875852
L0H,43.92103343,-79.18993114
L0J,43.831219,-79.6685725
L0K,44.67528632,-79.5399647
L0L,44.42979866,-79.73807805
L0M,44.34226023,-79.98792014
L0N,44.04456717,-80.16209249
L0P,43.59545475,-79.9332255
L0R,43.21744809,-79.7595624
L0S,43.02859474,-79.19382883
L1A,43.95441342,-78.31045686
L1B,43.96518369,-78.70116675
L1C,43.92221748,-78.69001036
L1E,43.90523679,-78.79362858
L1G,43.91652332,-78.86335615
L1H,43.90330488,-78.86248474
L1J,43.89521995,-78.90547479
L1K,43.93213898,-78.84519559
L1L,43.9483083,-78.89086697
L1M,43.9583818,-78.96285401
L1N,43.88142351,-78.93396336
L1P,43.89922847,-78.97329801
L1R,43.91240113,-78.93967059
L1S,43.84130332,-79.02188528
L1T,43.87072596,-79.04606021
L1V,43.83232755,-79.11114968
L1W,43.81823969,-79.09212993
L1X,43.86125843,-79.12275927
L1Y,43.956336,-79.08831925
L1Z,43.87267898,-79.01068313
L2A,42.90812738,-78.93608364
L2E,43.10432687,-79.08502878
L2G,43.07386154,-79.08727994
L2H,43.09021442,-79.12936709
L2J,43.12629639,-79.1056199
L2M,43.19602327,-79.21853271
L2N,43.19408778,-79.2509936
L2P,43.15384309,-79.21444809
L2R,43.16700919,-79.24398235
L2S,43.14642766,-79.25953622
L2T,43.13402347,-79.22615565
L2V,43.11639454,-79.20825655
L2W,43.16624659,-79.27689846
L3B,42.98311409,-79.24048438
L3C,43.00031706,-79.26405566
L3J,43.17011903,-79.46553021
L3K,42.89145476,-79.25431234
L3L,43.85834969,-79.5825694
L3M,43.19604226,-79.55844956
L3P,43.87988858,-79.2632204
L3R,43.84953105,-79.32582831
L3S,43.84344515,-79.27107519
L3T,43.82028995,-79.39590671
L3V,44.61180318,-79.40403732
L3X,44.04137477,-79.47431877
L3Y,44.05860286,-79.45808121
L3Z,44.10188157,-79.56412044
L4A,43.98986462,-79.28247982
L4B,43.85538615,-79.40075612
L4C,43.87057783,-79.4388591
L4E,43.93420335,-79.45526313
L4G,43.99761078,-79.46643162
L4H,43.82542011,-79.59521983
L4J,43.81011048,-79.45090964
L4K,43.80895994,-79.50685405
L4L,43.79290186,-79.57970989
L4M,44.39956315,-79.67396983
L4N,44.36902702,-79.69489512
L4P,44.2211165,-79.46450122
L4R,44.74730958,-79.88351315
L4S,43.92584419,-79.5248486
L4T,43.71608848,-79.64342662
L4V,43.6981035,-79.62002596
L4W,43.63561123,-79.61819604
L4X,43.61760551,-79.58130744
